"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
46067812448,5185;2;1;1;79;;;;;;;;;"14/02/2026 19:29:56";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812483,2176;2;0;1;79;;;;;;;;;"14/02/2026 19:29:59";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812541,1111;2;1;1;79;;;;;;;;;"14/02/2026 19:30:04";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812564,2593;2;0;1;79;;;;;;;;;"14/02/2026 19:30:06";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812633,6921;2;1;1;79;;;;;;;;;"14/02/2026 19:30:12";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812656,8403;2;0;1;79;;;;;;;;;"14/02/2026 19:30:14";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067919941,713;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"14/02/2026 22:04:43";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46067920202,1181;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"14/02/2026 22:05:05";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46067915987,4236;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"14/02/2026 21:59:01";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46067916125,6782;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"14/02/2026 21:59:13";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46067945792,6042;2;1;1;79;;;;;;;;;"14/02/2026 22:41:56";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067947169,9306;2;0;1;79;;;;;;;;;"14/02/2026 22:43:55";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067947320,3935;2;1;1;79;;;;;;;;;"14/02/2026 22:44:08";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067951047,2569;2;0;1;79;;;;;;;;;"14/02/2026 22:49:30";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46068352090,9259;2;1;1;63;;;;;;;;;"15/02/2026 08:27:01";"Low water pressure in the network - alarm";"HMI_Connection_1"
46068352137,2106;2;0;1;63;;;;;;;;;"15/02/2026 08:27:05";"Low water pressure in the network - alarm";"HMI_Connection_1"
46068352600,1852;2;1;1;63;;;;;;;;;"15/02/2026 08:27:45";"Low water pressure in the network - alarm";"HMI_Connection_1"
46068352727,5;2;0;1;63;;;;;;;;;"15/02/2026 08:27:56";"Low water pressure in the network - alarm";"HMI_Connection_1"
46068861109,456;2;1;1;26;;;;;;;;;"15/02/2026 20:40:00";"Pulsator position sensor failure";"HMI_Connection_1"
